Time_Diff_between_first_and_last_(Mins),Unique_Received_From_Addresses,total_transactions_(including_tnx_to_create_contract,_ERC20_max_val_rec,_ERC20_uniq_sent_token_name,_ERC20_most_sent_token_type,_ERC20_most_rec_token_type
9.1920409542941,1.3862943611198906,1.9459101490553132,0.0009995003330835331,0.0009995003330835331,4,3
13.74403144118647,2.0794415416798357,3.258096538021482,0.7594881388313124,0.6931471805599453,189,101
4.082271980987832,0.6931471805599453,1.3862943611198906,0.0009995003330835331,0.0009995003330835331,4,3
12.06419434274334,0.6931471805599453,1.3862943611198906,5.773876889443724,0.0009995003330835331,4,308
12.760712703599085,2.6390573296152584,5.680172609017068,12.051201456198271,2.995732273553991,275,444
13.155718982078062,0.6931471805599453,4.02535169073515,0.0593805541674385,0.0009995003330835331,4,308
12.8964303140165,0.6931471805599453,3.8066624897703196,0.0009995003330835331,0.0009995003330835331,4,3
0.0009995003330835331,0.0009995003330835331,0.0009995003330835331,2.6651427000909336,0.0009995003330835331,1,74
5.593223284089137,0.6931471805599453,2.0794415416798357,9.91252727088775,0.0009995003330835331,1,226
12.33175771108241,1.6094379124341003,5.0689042022202315,0.4071057615000499,0.0009995003330835331,4,308
14.172191760883418,1.6094379124341003,5.147494476813453,6.253096587795829,0.0009995003330835331,4,257
12.331728960972281,1.0986122886681098,3.4657359027997265,0.6833579217339818,0.0009995003330835331,4,308
12.62510539551228,1.0986122886681098,1.9459101490553132,6.398594934535208,0.0009995003330835331,4,308
12.466137537696955,1.0986122886681098,3.332204510175204,6.398594934535208,0.0009995003330835331,4,11
4.2162671661789055,0.6931471805599453,1.6094379124341003,0.0009995003330835331,0.0009995003330835331,4,3
13.812056168424894,2.1972245773362196,3.1780538303479458,0.0009995003330835331,0.0009995003330835331,4,3
11.99163719342275,1.0986122886681098,2.1972245773362196,18.64584114926763,0.8691702781551407,4,3
4.1513548169388805,1.0986122886681098,1.0986122886681098,4.605170185988092,0.0009995003330835331,1,74
8.934830582454959,0.6931471805599453,1.0986122886681098,0.848868055556721,0.0009995003330835331,1,74
4.26689632742025,0.6931471805599453,1.6094379124341003,0.0009995003330835331,0.0009995003330835331,4,3
11.909219782971036,1.791759469228055,4.07753744390572,5.902633333401366,0.6931471805599453,81,125
13.920559552104312,1.6094379124341003,6.508769136971682,0.0009995003330835331,0.0009995003330835331,4,3
4.253909131893439,0.6931471805599453,1.6094379124341003,0.0009995003330835331,0.0009995003330835331,4,3
4.204244757921959,0.6931471805599453,1.6094379124341003,0.0009995003330835331,0.0009995003330835331,4,3
13.410592775046348,1.791759469228055,2.995732273553991,0.0009995003330835331,0.0009995003330835331,4,3
13.69135097527517,2.0794415416798357,3.4339872044851463,0.0729613865041234,0.0009995003330835331,4,308
6.209836733543301,0.6931471805599453,1.0986122886681098,0.0009995003330835331,0.0009995003330835331,4,3
13.478638479416931,1.3862943611198906,2.9444389791664403,9.583483056102386,1.3862943611198906,17,18
12.743185560929275,1.3862943611198906,2.1972245773362196,0.0009995003330835331,0.0009995003330835331,4,3
4.206184043977636,0.6931471805599453,1.6094379124341003,0.0009995003330835331,0.0009995003330835331,4,3
13.54760507325396,1.6094379124341003,3.2188758248682006,6.92759648396556,0.6931471805599453,71,77
